Datos tabulados
N°   11
x   y=f(x)
1,000   1,771
1,100   1,606
1,200   1,816
1,300   2,320
1,400   2,961
1,500   3,636
1,600   4,290
1,700   4,889
1,800   5,414
1,900   5,857
2,000   6,216
2,100   6,501
2,200   6,727
2,300   6,920
2,400   7,105
2,500   7,313
2,600   7,568
2,700   7,885
2,800   8,271
2,900   8,718
3,000   9,211
3,100   9,729
3,200   10,251
3,300   10,757
3,400   11,231
3,500   11,665
3,600   12,054
3,700   12,403
3,800   12,720
3,900   13,019
4,000   13,315
4,100   13,623
4,200   13,956
